"Item","FILENAME","DESCRIPTIO","TAGNAME","TAGDESC","EXPRATION","FORCOND"
192,"a_linemv","Stock in work station","alnmvsiw","Wkstn+proc+prior+b.type+B/N","a_linemv->cpwkstn_id+a_linemv->cp_pccode+a_linemv->b_prior+a_linemv->b_type+a_linemv->b_purp+a_linemv->b_id","[a_linemv->arr .AND. !a_linemv->fin]"
193,"a_linemv","Finish date+time","alnmvfin","Finish date+time","dtos(a_linemv->cp_dfin)+a_linemv->cp_tfin","NIL"
194,"d_correc","Batch Id+Initial date","co_bid","Batch Id+Initial date","d_correc->b_id+dtos(d_correc->d_ini)","NIL"
195,"d_correc","MIS Exec+Initial date+batch","co_mis","MIS Exec+Initial date+batch","d_correc->mis_exec+dtos(d_correc->d_ini)+d_correc->b_id","NIL"
196,"d_correc","P/O+Initial date","co_plnid","P/O+Initial date","str(d_correc->poln_id,9,2)+dtos(d_correc->d_ini)","NIL"
197,"d_correc","MIS Exec+Initial date+P/O","co_pmis","MIS Exec+Initial date+P/O","d_correc->mis_exec+dtos(d_correc->d_ini)+str(d_correc->poln_id,9,2)","NIL"
198,"d_correc","Status+P/O+Initial date","co_pstat","Status+P/O+Initial date","d_correc->t_stat+str(d_correc->poln_id,9,2)+dtos(d_correc->d_ini)","NIL"
199,"d_correc","Status+Batch Id+Initial date","co_stat","Status+Batch Id+Initial date","d_correc->t_stat+d_correc->b_id+dtos(d_correc->d_ini)","NIL"
200,"d_correc","Group+User+status","co_group","Group+User+status","d_correc->ini_group+d_correc->ini_usr+d_correc->t_stat","NIL"
201,"h_finqc","Date batch finish","hfinqdat","Date batch finish","DTOS(b_dqc)","NIL"
202,"d_line","Batch type+Size+Value+Tol+Volt+Tc+Term","ilnbesnp","Batch type+ESN(params)","b_type+size_id+Str(value_id,9,3)+tol_id+volt_id+tc_id+term_id+esnxx_id+esny_id","NIL"
203,"h_stkmv","Move Date","hstmvmdt","date+time","dtos(h_stkmv->dadd_rec)+h_stkmv->tadd_rec","NIL"
204,"d_edsgn","Dsgn Id.","edsgn_id","Dsgn Id.","d_edsgn->edsgn_id","NIL"
205,"d_edsgn","Type+Line+Size+Val","edtopdwn","P.type+line+size+val","d_edsgn->ptype_Id+d_edsgn->pline_id+d_edsgn->size_id+ltrim(str(d_edsgn->value_id,9,3))+dtos(d_edsgn->open_date)","NIL"
206,"d_ord","SONo","iordsono","SONo","d_ord->sono+d_ord->cu_id","NIL"
207,"d_ord","Top-down + market due, Q only","ipotmdq","Top-down + market due, Q only","padr(d_ord->ptype_id+d_ord->pline_id+d_ord->size_id+ltrim(Str(d_ord->value_id,9,3))+d_ord->tol_id+d_ord->volt_id+d_ord->tc_id+d_ord->term_id+d_ord->esnxx_id+d_ord->esny_id,23)+dtos(d_ord->d_mrkdlv)","[d_ord->poln_stat == ""Q""]"
208,"d_ord","Book date","iorddtbk","Book date","dtos(d_ord->d_ordrec)","NIL"
209,"h_stkmv","Move type +Src BN +AVX IL P/O","hstmvtbd","Move type+source B/N+P/O","h_stkmv->smtype_id+h_stkmv->srb_id+str(h_stkmv->poln_id,9,2)","NIL"
210,"m_adjinv","Doc no + debit credit + detail line","m_adjinv","Doc no + debit credit + detail line","m_adjinv->origdoc_no+m_adjinv->credt_debt+str(m_adjinv->shipln,3)","NIL"
211,"h_finqc","Batch + ESN","hfqcbesn","Batch + ESN","h_finqc->b_id + h_finqc->esn_id","NIL"
212,"m_linemv","Pc code + finish date","ilnmvpcf","Pc code + finish date","m_linemv->cp_pccode + dtos(m_linemv->cp_dfin)","NIL"
213,"c_tinit","Init","c_tinit","Init","c_tinit->ini_usr","NIL"
214,"c_proc","Process name","procname","Process name","proc_nme+proc_id","NIL"
215,"d_prornd","RND promises","ipolrnd","P/O","Str(d_prornd->poln_id,9,2)","NIL"
216,"d_prornd","B/N + Poln_id - R&D promises","ibpolrnd","B/N + Poln_id","d_prornd->b_id+str(d_prornd->poln_id,9,2)","NIL"
217,"m_edsgn","Batch - engineering design link","m_edsgn","B/N","m_edsgn->b_id","NIL"
218,"substit","Existing ESN + new","substit","esnexist + new","substit->esnexist+substit->esnnew","NIL"
219,"d_stock","ESN params(non zero)","istkesp2","Top-down ESN(non zero)","padr(d_stock->ptype_id+d_stock->pline_id+d_stock->size_id+ltrim(Str(d_stock->value_id,9,3))+d_stock->tol_id+d_stock->volt_id+d_stock->tc_id+d_stock->term_id+d_stock->esnxx_id+d_stock->esny_id,23)","[wh1+wh2+wh8+wh9+wh6+wh7>0]"
220,"d_stock","LOC+ESN params(non zero)","istkloc2","LOC+Top-down ESN(non zero)","d_stock->loc+padr(d_stock->ptype_id+d_stock->pline_id+d_stock->size_id+ltrim(Str(d_stock->value_id,9,3))+d_stock->tol_id+d_stock->volt_id+d_stock->tc_id+d_stock->term_id+d_stock->esnxx_id+d_stock->esny_id,23)","[wh1+wh2+wh8+wh9+wh6+wh7>0]"
221,"d_shipd","Date shipped","ishipdsh","Date shipped","Dtos(d_shipd->dadd_rec)","NIL"
222,"d_ordrnd","R&D Orders on Hold","iporndhl","P/O on HOLD","Str(d_ordrnd->poln_id,9,2)","[(poln_stat $""H"")]"
223,"d_ordrnd","R&D Orders","ipolnrnd","P/O","Str(d_ordrnd->poln_id,9,2)","NIL"
224,"notsubst","Existing ESN + new","notsubst","esnexist + new","notsubst->esnexist+notsubst->esnnew","NIL"
225,"actlock","action","actlock","action","actlock->action","NIL"
226,"m_linemv","Stock in proc by status","ilnmvsta","Proc+prior+status(desc.)+purp+b_id","m_linemv->cpproc_id+m_linemv->b_prior+descend(m_linemv->b_stat)+m_linemv->b_purp+m_linemv->b_id","[m_linemv->arr .AND. !m_linemv->fin]"
227,"d_canc","Date canceled","datecanc","Date canceled","d_canc->d_ordrec","NIL"
228,"c_hierar","priorities of substitutions","c_hierar","priorities of substitutions","c_hierar->tol_level+padl(c_hierar->priorlevel,5)","NIL"
229,"c_hierar","substitutions","priorgrp","substitutions","c_hierar->tol_level+c_hierar->tol_id+c_hierar->volt_id+c_hierar->tc_id","NIL"
230,"c_minpck","Product Type+Size+Tol","c_minpck","Product Type+Size+Tol","c_minpck->ptype_id+c_minpck->size_id+c_minpck->tol_id","NIL"
231,"d_pcaud","Batch No+Proc Id","d_pcaud","Batch No+Proc Id","d_pcaud->b_id+d_pcaud->cpproc_id","NIL"
232,"m_stkmv","Poln_id + Move Date","istmvpod","poln_id+date","str(m_stkmv->poln_id,9,2)+dtos(m_stkmv->dadd_rec)+m_stkmv->tadd_rec","NIL"
233,"d_calndr","calender","d_calndr","calender","d_calndr->cal_date","NIL"
234,"d_svfls","List of historical stock value files","d_svfls","List of historical stock value files","d_svfls->file_name","NIL"
235,"d_svmfls","List of historical stock movement files","d_svmfls","List of historical stock movement files","d_svmfls->file_name","NIL"
236,"c_smtype","smtype_id's and valued stock movements","c_smtype","smtype_id's and valued stock movements","c_smtype->smtype_id+c_smtype->srwh+c_smtype->dswh","NIL"
237,"c_svalmv","Stock value code definitions","c_svalmv","Stock value code definitions","c_svalmv->svm_type","NIL"
238,"m_svalmv","Stock value influencing action","m_svalmv","Stock value influencing action","m_svalmv->ptype_id+m_svalmv->pline_id+m_svalmv->size_id+str(m_svalmv->value_id,9,3)+dtos(m_svalmv->svm_date)+m_svalmv->svm_time","NIL"
239,"m_svalmv","Source File Name","m_svsfn","Source File Name","m_svalmv->SourceFile","NIL"
240,"m_ord","Poln Id","m_ord","P/O","Str(m_ord->poln_id,9,2)","NIL"
241,"c_proc","Process no","pcprocno","Process no","pcprocno","NIL"
242,"c_leadt","Test for lead time new system","itcppr","Ptype+Process+Line","c_leadt->ptype_id+c_leadt->proc_id+c_leadt->pline_id","NIL"
243,"c_ptype","Customer part type","iptypc","Customer Part type","cust_ptype","NIL"
244,"h_ord","Poln Id","hpolnoid","P/O","Str(h_ord->poln_id,9,2)","NIL"
245,"d_mply","pline+sarea+fiscalyear","d_mply","pline+sarea+fiscalyear","pline_id+sarea_id+fiscalyear","NIL"
246,"d_shiph","d_shipd","dshphtmp","d_shipd","dtos(d_shiph->d_shipd)","NIL"
247,"d_ord","poln_id for stat T only","ipolnwt","poln_id for stat T only","str(d_ord->poln_id,9,2)","[d_ord->poln_stat == ""T""]"
248,"c_wkstn","wkstn_id","c_wkstn","wkstn_id","c_wkstn->wkstn_id","NIL"
249,"c_sbstxx","XX Substitution - Capacitors","inxx","XX Substitution - Capacitors","ptype_id+pline_id+size_id+req_xx+subst_xx","NIL"
250,"c_sbstxx","XX Substitution - Fuses,Inductors","ixx","XX Substitution - Fuses,Inductors","ptype_id+req_xx+subst_xx","NIL"
251,"c_prornd","R&D Project name","c_prornd","R&D Project name","proj_id","NIL"
